,IGNORE LIST
294,MR. FOUNDATION INC.
295,MTI TECHNOLOGIES
296,MULTI FLOORING
297,MW MOBILE WORKSHOP
298,NAIT
299,NANOMETRICS
300,NAOMI'S FAMILY RESOURCE CENTRE
301,NASITTUQ CORPORATION
302,NATIONAL DEFENCE
303,NAV  CA.
304,NAV CA.
305,NAV CANADA
306,NAV CANADA
307,NEDCO (KINGSTON)
308,NEDCO (MTL)
309,NEXACOR
310,NORTHERN ALBERTA INST OF TECH
311,OCSCC 661 C/O AXIA PROPERTY
312,ON REALTY CORPORATION
313,OPP COMMUNICATION CENTRE
314,ORCHARD VIEW ON THE RIDEAU INC.
315,ORLEANS GARDENS CHIROPRACTIC
316,OTTAWA - 340 LAURIER WEST
317,OTTAWA-CARLETON DISTRICT SCHOOL BOARD (TENDER)
318,OXFORD PROPERTIES
319,PARADIGM PROPERTIES
320,PARKSIDE ELECTRIC
321,PARS PROPERTY MANAGEMENT
322,PAUL BEAUDOIN CONSTRUCTION
323,PBC INC.
324,PC CYBERNET
325,PF INVESTMENTS
326,PHOENIX PROPERTY SERVICS
327,PIERRE VAILLANCOURT & ASSOCIATES IN
328,PIERRE VAILLANCOURT & ASSOCIES INC.
329,PLANO CONSTRUCTION INC.
330,POLYVANTE NICOLAS-GATINEAU
331,POTTER ELECTRIC LTD
332,PRESCOTT & RUSSELL RESIDENCE
333,PRESCOTT AND RUSSELL EMERGENCY SERVICES
334,PRIMFORCE REAL ESTATE INVESTMENT
335,PROFESSIONAL FIRE
336,PROFESSIONAL FIRE PROTECTION
337,PROPERTIES GROUP
338,PUBLIC WORKS & GOVERNMENT SERVICES.
339,PUBLIC WORKS AND G.S.C.
340,PWGSC
341,PWGSC (OTC)
342,PWGSC (SPARKS STREET)
343,PWGSC/CRPTC
344,PWGSC-25 EDDY STREET
345,QUEEN ELIZABETH TOWERS C/O CCC#95
346,QUEENS UNIVERSITY
347,QUEENS UNIVERSITY  2
348,QUEEN'S UNIVERSITY AT KINGSTON
349,R.S. EDWARDS CONSTRUCTION
350,RAM ELECTRIC
351,RCMP/GRC
352,REALSPACE MANAGEMENT GROUP INC.
353,REALSTAR MANAGEMENT PARTNERSHIP
354,RED LOBSTER RESTAURANT
355,REGIONAL ELEVATOR SERVICES
356,REGIONAL GROUP OF COMPANIES
357,REGIONAL GROUP OF COMPANIES INC
358,RELAIS PLEIN AIR DU PARC DE LA GATINEAU
359,RENFREW COUNTY CATHOLIC DISTRICT SCHOOL BOARD
360,RENFREW COUNTY DISTRICT SCHOOL BOARD
361,RESIDENCE CHAMPLAIN
362,RESIDENCE L'ILE
363,RETROFIT SOLUTIONS INC.
364,RICHMOND CARE HOME C/O CAREFOR HEALTH COMMUNITY
365,RIDEAU PLACE RETIREMENT HOME
366,RIOCAN MANAGEMENT
367,RIOCAN MANAGEMENT INC.
368,RIOKIM HOLDINGS (ON) INC
369,ROBERT GAUVREAU & SONS
370,RODGERS TECH
371,ROGER BOUCHARD APT BLDG.
372,RONA L'ENTREPOT
373,RONA L'ENTREPOT GATINEAU
374,ROYAL BANK OF CA C/O BLJC
375,ROYAL CANADIAN MOUNTED POLICE
376,RSG ENGINERRING INC
377,RYDER TRUCK RENTALS CA
378,S&S ELECTRIC
379,S.E.G. MARKETING
380,SAINT MARY'S HOME
381,SAKTO CORPORATION
382,"SCOTT, DAVE"
383,SEGUIN RACINE ARCHITECTES & ASSOC
384,SENSTAR CORP.
385,SIEMENS CA LIMITED
386,SIENNA ONTARIO RH 2017 LP
387,SIGMA ASSET MANAGEMENT LTD.
388,SIGMA ASSET MANAGEMENT LTD.
389,SILVERCREEK COMMERCIAL INTERIORS INC.
390,SIMPLEXGRINNELL
391,SIMPLEXGRINNELL - CALGARY
392,SIMPLEXGRINNELL - KINGSTON
393,SIMPLEXGRINNELL - MONTREAL
394,SIMPLEXGRINNELL - OTTAWA
395,SIMPLY ELECTRIC
396,"SIMS, CAROLYNE"
397,SLEEP COUNTRY
398,SLP CUSTOMER SUPPORT INC.
399,SNC LAVALIN O&M INC. (STATS CA)
400,SNC-LAVALIN O&M
401,SNELLING PAPER & SANITATION
402,SODEXO CA POST
403,SOEUR DE LA CHARITE
404,SPACEFORM CONSTRUCTORS INCORPORATED
405,ST. ELIAS ANTIOCHIAN CHURCH
406,ST. FRANCIS XAVIER UNIVERSITY
407,STANDARD LIFE
408,STAPLES BUSINESS DEPOT
409,STARR GYMNASTICS
410,STRAND SECURITIES CORPORATION
411,STRONGER YOU KARATE
412,SUMMITREIT PROPERTY MANAGEMENT
413,SUNSET CONTRACTING
414,SUPERIOR SAFETY INC.
415,SUPERIOR SAFETY INC. (HEAD OFFICE)
416,SUPREME ELECTRIC
417,SUSSEX HOUSE
418,SUZANNE YELLE
419,SYLITEC CONSTRUCTION
420,SYMPHONY SENIOR LIVING MEMORY CARE
421,TANNING DEPOT
422,TECHNIFEST
423,TENDERS PERIMETER@SNCLAVALINPROFAC
424,TERAMACH TECHNOLOGIES INC.
425,THE DIEFENBUNKER
426,THE GROUP FIA
427,THE IGS GROUP
428,THE MILLS COMMUNITY SUPPORT CORP.
429,THE OTTAWA HOSPITAL
430,THE SOURCE
431,THE UNIVERSITY OF WESTERN ON
432,TOTAL FIRE PROTECTION
433,TOTAL FIRE PROTECTION SERVICES LTD.
434,TOUR LAURIER TOWER
435,TOURANGEAU ELECTRIQUE
436,TRAMMELLCROW COMPANY
437,TRANSPORT CA
438,TRANSPORT CA FINANCE AND
439,U-HAUL STORAGE
440,ULTIMATE CURRENCY EXCHANGE
441,UNION MISSION
442,UNIVERSAL HOME IMPROVEMENT
443,UPWARD DOG YOGA CENTRE
444,VENUS FIRE PROTECTION
445,VIGI SANTE LTEE.
446,VIKING PROTECTION INCENDIE
447,VILLE DE GATINEAU
448,WESCO DISTRIBUTION CA LP
449,WILD OAT BAKERY
450,WINE KITZ
451,WOOD PRO
452,WORK MATES
453,WORKING INTERIORS
454,YEN HOLDINGS
455,ZONETEC LTD.
