Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0.1,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0.2,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,163 JAMES STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,163 JAMES STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,163 JAMES STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,163 JAMES STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,AI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,163 JAMES STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,163 JAMES STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,163 JAMES STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,163 JAMES STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,AI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Annual, periodic inspections-CCOC",CCOC OTTAWA,,MI,,,01/18/2021,01/18/2019,01/01/2021,,,,,,,,,,369 STEWART STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,AI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (35),COLONNADE BRIDGEPORT (35),,MI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,1600 LAPERRIERE AVENUE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (36),COLONNADE BRIDGEPORT (36),,BI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,480 HARTNEY STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (36),COLONNADE BRIDGEPORT (36),,BI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,480 HARTNEY STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (36),COLONNADE BRIDGEPORT (36),,BI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,480 HARTNEY STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (36),COLONNADE BRIDGEPORT (36),,BI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,480 HARTNEY STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (36),COLONNADE BRIDGEPORT (36),,BI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,480 HARTNEY STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (36),COLONNADE BRIDGEPORT (36),,AI,,,07/26/2021,07/26/2019,01/01/2021,,,,,,,,,,480 HARTNEY STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,SAI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,AI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3250-70 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,SAI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,AI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (37),COLONNADE BRIDGEPORT (37),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,3234-46 HAWTHORNE ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,AI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,SAI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,MI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (38),COLONNADE BRIDGEPORT (38),,BI,,,07/29/2021,07/29/2019,01/01/2021,,,,,,,,,,240 CATHERINE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,BI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,MI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,BI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,MI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,AI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,MI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,BI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,MI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,BI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,MI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,SAI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-COLONNADE BRIDGEPORT (39),COLONNADE BRIDGEPORT (39),,MI,,,07/30/2021,07/30/2019,01/01/2021,,,,,,,,,,WESTBORO ATHLONE X4,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Monthly Inspections-COMINAR REIT,COMINAR,,MI,100013.0,,09/19/2021,09/19/2019,01/01/2021,,,,,,,,,,550 PLACE DE LA CITE,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
