Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0.1,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0.2,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Cartling Realty Co. Ltd-Route,20-1017BS,SAI,,,,2021-01-01,01/01/2020,2020-12-31,,,,300.0,,,,,"FE,FHC",100 Medhurst Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Carlington Community Health Services-Fire Alarm,19-1880JH,AI,,100977.0,,2021-04-01,04/01/2019,2021-03-31,,,,795.0,,,,,FA,900 Merivale,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Carlington Community Health Services-Route,19-1880JH,AI,,100977.0,,2021-04-01,04/01/2019,2021-03-31,,,,795.0,,,,,"FE,EL,FHC",900 Merivale,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Taillefer Plumbing and Heating-Sprinkler,,AI,,,,,,,,,,550.0,,,,,BF,3001 Solandt,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,The Cedars-Sprinkler,20-1429MT,AI,,,,2021-06-01,06/01/2020,2021-05-31,,,,350.0,,,,,HYD,"154, 164 Salt Springs and 256 Tofino",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CCC #104 (Huntridge Condos)-Sprinkler,,AI,,,,,,,,,,0.0,,,,,HYD,"156, 201, 225 Huntridge",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Raglin Building Corp c/o Colliers Int'l-Sprinkler,20-1568JH,AI,,,,2021-07-01,07/01/2020,2021-06-30,,,,995.0,,,,,"HYD,WET",888 Meadowlands,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Sprinkler,20-1644JD,AI,,,,2021-08-01,08/01/2020,2021-07-31,,,,350.0,,,,,BF,14 Colonnade,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Bridgeport-Sprinkler,20-1564JH,AI,,,,2021-10-01,10/01/2020,2021-09-30,,,,3000.0,,,,,"HYD,WET",3000 Solandt Rd,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Bridgeport-Fire Alarm,20-1564JH,AI,,,,2021-10-01,10/01/2020,2021-09-30,,,,3000.0,,,,,FA,3000 Solandt Rd,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
