Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Colonnade Management Inc.-Route,15-1041MT,AI,,NA,,,,01/01/2021,,,,3550.0,,,,,"EL,FHC",240/250/260 Centrum Blvd/3095 St. Joseph,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Fire Alarm,18-1286JP,AI,,NA,,,,01/01/2021,,,,655.0,,,,,FA,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Route,18-1286JP,AI,,NA,,,,01/01/2021,,,,655.0,,,,,EL,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Monitoring,18-1286JP,AI,,NA,,,,01/01/2021,,,,655.0,,,,,FIRE,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canderel Management Inc. (in trust for Albert & Bank Equities Inc. and Parkgreen LP)-Sprinkler,20-1375JD,AI,,NA,,,,01/01/2021,,,,6525.0,,,,,"FP,SPR,WET,DRY",250 Albert Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canderel Management Inc. (in trust for Albert & Bank Equities Inc. and Parkgreen LP)-Fire Alarm,20-1375JD,AI,,NA,,,,01/01/2021,,,,6525.0,,,,,"FA,VOICE",250 Albert Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canderel Management Inc. (in trust for Albert & Bank Equities Inc. and Parkgreen LP)-Route,20-1375JD,AI,,NA,,,,01/01/2021,,,,6525.0,,,,,"FE,EL,FHC",250 Albert Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Agropur, Division Natrel-Sprinkler",10-1363,AI,,NA,,,,01/01/2021,,,,1880.0,,,,,"HYD,SPR,WET,DRY",1001 Dairy Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Agropur, Division Natrel-Fire Alarm",10-1363,AI,,NA,,,,01/01/2021,,,,1880.0,,,,,FA,1001 Dairy Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Agropur, Division Natrel-Route",10-1363,AI,,NA,,,,01/01/2021,,,,1880.0,,,,,"EL,FHC",1001 Dairy Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Sprinkler,14-1225,AI,,NA,,,,01/01/2021,,,,520.0,,,,,SPR,151 Bentley Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Route,14-1225,AI,,NA,,,,01/01/2021,,,,520.0,,,,,EL,151 Bentley Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,SNC Lavalin O&M Inc.-Inergen System,12-1310,AI,,NA,,,,01/01/2021,,,,3980.0,,,,,,"Jeanne Mance Bldg, 12th Fl., Secur Data Panel",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
