Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Prime Corp.-Route,20-1007JD,AI,,NA,,01/01/2021,01/01/2020,01/01/2021,,,,1355.0,,,,,EL,"27 blvd. Lucerne/87 ch. Vanier, Aylmer",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Gold Key-Sprinkler,20-1398MT,AI,,NA,,06/01/2021,06/01/2020,01/01/2021,,,,1450.0,,,,,"FP,SPR,WET,DRY",275 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Gold Key-Fire Alarm,20-1398MT,AI,,NA,,06/01/2021,06/01/2020,01/01/2021,,,,1450.0,,,,,FA,275 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Gold Key-Route,20-1398MT,AI,,NA,,06/01/2021,06/01/2020,01/01/2021,,,,1450.0,,,,,"EL,FHC",275 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Pepsico Canada Beverages-Sprinkler,18-1400-5yr contract,AI,,NA,,05/01/2021,05/01/2018,01/01/2021,,,,3200.0,,,,,"FP,HYD,SPR,WET",869 Belfast Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Pepsico Canada Beverages-Route,18-1400-5yr contract,AI,,NA,,05/01/2021,05/01/2018,01/01/2021,,,,3200.0,,,,,"EL,FHC,EXT",869 Belfast Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Richmond Heights Apartments-Sprinkler,20-1874BI,AI,,100201,,10/01/2021,10/01/2020,01/01/2021,,,,2000.0,,,,,"SPR,WET",2841 Richmond Road - Richmond Height Apts,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Richmond Heights Apartments-Fire Alarm,20-1874BI,AI,,100201,,10/01/2021,10/01/2020,01/01/2021,,,,2000.0,,,,,"FA,VOICE",2841 Richmond Road - Richmond Height Apts,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Richmond Heights Apartments-Route,20-1874BI,AI,,100201,,10/01/2021,10/01/2020,01/01/2021,,,,2000.0,,,,,"EL,FHC",2841 Richmond Road - Richmond Height Apts,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,District Realty c/o 1048318 Ontario Inc.-Fire Alarm,19-1285JP,AI,,NA,,08/01/2021,08/01/2019,01/01/2021,,,,1080.0,,,,,FA,2255 Carling Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
